athlets_code,name,name_short,name_tv,gender,country_code,country_long,disciplines,events
1910812,OZBAS Szofi,OZBAS S,Szofi OZBAS,Female,HUN,Hungary,['Judo'],"['Women -63 kg', 'Mixed Team']"
1910841,LELIOR Anat,LELIOR A,Anat LELIOR,Female,ISR,Israel,['Surfing'],['Women']
1910849,SAENCHA Kamonlak,SAENCHA K,Kamonlak SAENCHA,Female,THA,Thailand,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women']"
1911041,JAJARABILLA Mario Damian,JAJARABILLA MD,Mario Damian JAJARABILLA,Male,ARG,Argentina,['Archery'],"[""Men's Individual""]"
1911048,DOUILLET Ionnah Eliane,DOUILLET IE,Ionnah Eliane DOUILLET,Female,BEN,Benin,['Swimming'],"[""Women's 50m Freestyle""]"
1911067,PUPP Reka,PUPP R,Reka PUPP,Female,HUN,Hungary,['Judo'],"['Women -52 kg', 'Mixed Team']"
1911081,de MASI Arianna,de MASI A,Arianna de MASI,Female,ITA,Italy,['Athletics'],"[""Women's 4 x 100m Relay""]"
1911100,KPADE Alexis Michel Roger Dodji,KPADE AMRD,Alexis Michel Roger Dodji KPADE,Male,BEN,Benin,['Swimming'],"[""Men's 100m Backstroke""]"
1911110,TOTH Krisztian,TOTH K,Krisztian TOTH,Male,HUN,Hungary,['Judo'],"['Men -90 kg', 'Mixed Team']"
1911111,TARADIN Denis,TARADIN D,Denis TARADIN,Male,CYP,Cyprus,['Sailing'],"[""Men's Kite""]"
1911113,UNGVARI Attila,UNGVARI A,Attila UNGVARI,Male,HUN,Hungary,['Judo'],"['Men -81 kg', 'Mixed Team']"
1911142,VEG Zsombor,VEG Z,Zsombor VEG,Male,HUN,Hungary,['Judo'],"['Men -100 kg', 'Mixed Team']"
1911163,MARTINEZ Dani,MARTINEZ D,Dani MARTINEZ,Male,COL,Colombia,['Cycling Road'],"[""Men's Road Race""]"
1911167,BUITRAGO Santi,BUITRAGO S,Santi BUITRAGO,Male,COL,Colombia,['Cycling Road'],"[""Men's Road Race""]"
1911221,MESTRE Alberto,MESTRE A,Alberto MESTRE,Male,VEN,Venezuela,['Swimming'],"[""Men's 100m Freestyle"", ""Men's 50m Freestyle""]"
1911246,LEWIS Akilah,LEWIS A,Akilah LEWIS,Female,TTO,Trinidad and Tobago,['Athletics'],"[""Women's 4 x 100m Relay""]"
1911247,SCIORTINO Martti,SCIORTINO M,Martti SCIORTINO,Male,ITA,Italy,['Cycling BMX Racing'],['Men']
1911263,Mc KAY Shakeem,Mc KAY S,Shakeem Mc KAY,Male,TTO,Trinidad and Tobago,['Athletics'],"[""Men's 4 x 400m Relay""]"
1911269,PATINO Paula,PATINO P,Paula PATINO,Female,COL,Colombia,['Cycling Road'],"[""Women's Road Race""]"
1911272,BETTIOL Alberto,BETTIOL A,Alberto BETTIOL,Male,ITA,Italy,['Cycling Road'],"[""Men's Road Race"", ""Men's Individual Time Trial""]"
1911367,QUOW Renny,QUOW R,Renny QUOW,Male,TTO,Trinidad and Tobago,['Athletics'],"[""Men's 4 x 400m Relay""]"
